Opcode,SHA-256 Hash
ldmdaeq,076a999ef82747c357d7653186a95f954168570c5ed33f71f6728bd2fc9dd86d
vpush,1481d6649c91f5353b2597cd28e6a842e324ea9b24b069abef9db154270e1ca8
str.w,f70d045285d33a29c88816b63f651939dad3eff7f40ff2f89f91c09ce1413e5e
vpop,38c63cfd26aeef5b038f58668558b42817e2250d71cdd1144e5faa7282958dbd
svc,61a6d045fc3ee7913f482214ab8b5c92309738307b4557d7da90a3b3a81b7bd0
ittte,db4f866164b2b01a4e9baf9361be6b315bd4891fff209abe1b957f3b59b443b1
bleq,e11f7e23e034be7a832c3d05eecb05918199018d250cd97897f627b64cd52dac
umlal,ce3739ef1691f1e2a225138f7a1ea0892e4a8dd20a29d95eec7a6ce8aa5c0216
cmphi.w,d72b8a21e0dff3618060173db13ae86504212b9024543416cc3dcfcaac3022c2
bhi.n,f283ef26c0b117952725b647d1cb1447379063e87a9e8f9b09fa572f347b464e
rsbsgt,e473c3fe998a125d0a3eb999df57011d71ef08359f6cd330a255f11e7f8bdf6c
orrgt.w,27a94c60b569d309c0ed3cb14b1cc83157f0fba26ebf1d17be041a8967c7b821
popgt,b1b666914811bceb9e3fde1992aabc1bf3c8d98013accf9c210ca9f5ebda3d07
bgt.w,2ca33ee05c999430eb1155db597298207aee16088c49c80d911d0d5f9c85c182
movle,ef7d1de55715e6bffac63a0ed2b9408ef449e13b16a2f46ed771ab286e249f51
andle.w,f2af1547557a096075fd81750a609f56366c50ef262dc439f1405a311e8f05f2
pople,23c6dd6a787b87c167040f564aa65028cd08524919e7f442d2cd6aaa3d37434c
subeq,60adea5e2d7929920f9d3182fd44e46ba503b49c27bd3bd5fca2b72bf3cdca11
mvneq.w,ba183e907dc902a457dd70637bd10a269d5d112c4c508696641a6752c91fd3ab
subscs.w,3d6b972ce9ad47749d366d82181b89a1328e8d515a19c7e70562f5c3bb082598
rsbscs,74c227b619a6ba855d53f1b6d5e838b4f55f956d55a592b8ae38020dbcea911f
andlt.w,7f9a8fb5f66f2ff579bff2bdb14cb242196427744947e1891a017791d71845b9
bxlt,d0d5b118d629fc518930249ccb383d3842fa04171ff9da6cd01d2e3d9b973ad7
lsls.w,96b984cf82cf80d6ad698909bc14fe70ff563cec635f7a9a0c1a6113dafff499
ldrb.w,7a2ce386ca6d04e994171bd50f39f5db228c8d598259c04b48b614d16cfa0ffc
uadd8,eba30f61b8633c9189bd568f8c5199d49219e502b1bd44ed7fb35eb2a57c674e
sel,f78b056a3994202537c9f17017b4c9a52bccba345a9a85eb79264f412edd88bd
